CGPA,Attendance,Coding_Score,Aptitude_Score,Communication_Score,Internships,Projects,Placed
8.91,96,43,44,53,0,3,1
8.39,98,100,80,45,2,0,1
8.5,56,34,42,84,3,3,1
8.7,89,84,78,92,2,1,1
5.36,96,31,99,68,3,3,1
6.72,88,91,85,54,0,0,1
5.56,84,50,80,84,1,4,1
9.14,67,50,66,44,0,1,1
7.99,67,39,46,66,0,3,0
6.59,72,87,87,86,1,1,1
5.31,86,68,58,49,2,4,1
6.49,86,34,62,37,1,3,1
6.56,89,94,89,71,2,3,1
8.5,93,42,84,74,2,1,1
8.06,100,82,39,74,3,1,1
9.26,83,74,76,90,3,0,1
7.27,83,61,52,57,1,4,1
5.57,98,65,50,45,0,0,0
8.42,70,89,42,98,1,3,1
8.65,98,40,62,42,2,1,1
7.69,64,92,53,90,3,3,1
8.7,84,50,40,94,1,3,1
7.37,79,81,46,44,1,2,1
7.51,93,84,97,73,3,2,1
7.05,74,55,76,62,3,3,1
5.12,59,97,54,83,3,1,0
5.52,55,63,50,70,2,3,0
5.15,84,81,41,47,3,2,0
8.05,57,81,66,70,0,1,1
6.51,99,58,71,60,1,3,1
7.44,68,67,46,38,3,4,1
9.36,84,71,77,98,3,4,1
6.2,58,50,57,72,2,3,1
6.97,72,71,70,56,2,1,0
8.63,91,42,76,36,1,3,1
6.1,79,93,47,65,0,3,1
5.37,55,46,100,45,1,2,0
6.39,100,38,42,80,3,4,1
5.77,69,70,42,96,0,2,0
9.46,63,30,60,98,0,2,1
8.88,69,31,31,44,0,3,1
8.04,78,89,45,74,0,2,1
9.18,58,77,38,58,1,4,1
8.86,66,58,67,78,2,2,1
5.9,91,39,83,94,2,4,0
9.28,91,87,85,96,3,2,1
7.59,97,89,74,51,2,4,1
8.88,60,50,63,99,2,2,1
9.3,93,57,38,91,2,2,1
6.53,100,63,37,89,2,1,1
5.53,78,37,36,87,3,4,1
6.09,65,88,65,90,1,4,1
7.05,67,78,47,43,0,4,1
8.93,88,46,32,56,2,0,1
9.13,79,89,57,47,1,2,1
5.03,61,74,99,82,2,4,1
7.45,58,98,73,52,2,0,1
7.0,62,61,50,74,0,1,1
6.07,74,73,57,51,0,4,1
5.58,83,94,83,49,0,4,1
6.62,99,37,83,49,2,0,1
9.53,100,72,94,97,2,2,1
6.55,64,30,50,73,2,1,0
7.49,97,80,42,47,0,4,1
8.37,88,53,86,66,3,2,1
6.75,80,53,78,43,1,1,0
9.66,95,46,83,74,3,3,1
9.62,57,34,39,54,2,3,1
6.21,60,49,82,97,2,1,1
7.39,59,50,73,78,3,0,1
6.44,59,87,76,72,2,1,1
6.37,77,60,82,94,1,1,1
5.18,63,40,75,82,2,0,0
7.93,89,81,42,52,1,0,1
7.41,74,44,66,50,3,2,0
5.25,96,36,53,89,3,2,1
6.34,89,57,31,73,2,0,1
9.36,72,80,43,93,1,3,1
6.15,71,87,39,96,2,3,1
5.7,78,34,64,47,0,1,0
7.35,57,34,54,40,0,4,0
9.73,86,37,32,94,0,1,1
6.16,89,93,46,48,0,1,0
8.23,92,39,41,88,2,4,1
8.66,67,67,83,38,0,0,1
6.14,79,37,53,73,1,3,0
8.5,63,54,58,59,3,1,1
6.77,58,95,72,66,3,4,1
8.04,68,79,54,93,0,2,1
8.04,91,96,89,97,0,1,1
7.57,88,78,94,72,0,3,1
5.43,65,65,57,87,2,0,0
9.01,95,97,45,62,3,1,1
6.54,57,70,76,37,0,1,0
5.9,82,91,87,56,1,4,1
5.2,83,39,56,72,0,2,0
7.84,63,50,82,96,3,2,1
8.25,57,65,71,91,0,0,1
5.08,79,41,88,40,3,3,0
7.46,88,31,76,66,0,0,1
6.09,66,42,63,44,1,1,0
8.1,96,82,66,37,0,1,1
5.84,63,61,35,93,1,2,1
8.32,69,45,36,83,1,3,1
6.86,94,61,54,93,0,4,1
9.5,79,61,62,65,1,3,1
5.66,59,40,84,96,2,1,0
6.64,65,39,87,86,0,4,1
5.54,88,44,36,75,0,3,0
9.44,78,46,86,65,1,3,1
9.21,69,69,41,56,1,4,1
6.24,92,47,45,38,0,1,0
8.17,62,84,72,47,2,3,1
8.92,59,54,36,79,1,4,1
7.66,80,88,80,76,1,1,1
7.54,72,51,61,83,3,4,1
6.16,60,59,37,54,2,4,0
5.45,91,73,74,88,2,3,1
9.31,67,61,88,70,0,1,1
9.32,82,80,33,35,2,3,1
8.04,59,75,96,49,0,0,1
6.63,67,50,58,51,3,0,0
6.68,71,61,58,58,2,1,1
8.48,94,68,57,92,1,4,1
9.31,99,41,73,57,3,3,1
9.26,86,76,33,80,0,3,1
8.74,83,47,38,42,3,1,1
8.08,57,50,34,93,0,1,1
5.4,94,42,85,93,3,0,1
5.78,88,50,79,47,0,2,0
9.31,94,37,44,73,2,1,1
7.91,81,75,61,62,1,2,1
5.04,67,36,57,95,0,1,0
5.49,99,52,51,50,3,4,0
8.18,87,51,46,36,0,4,1
5.02,60,51,88,51,0,0,0
5.77,78,58,100,64,0,0,0
7.63,73,42,86,47,3,2,1
8.32,70,31,55,47,1,1,1
8.13,94,58,54,77,2,3,1
6.08,82,81,39,55,1,0,0
8.42,87,56,74,89,0,3,1
6.14,95,79,40,74,3,3,1
6.56,67,52,82,49,1,1,1
8.58,97,73,97,86,0,2,1
8.12,99,51,57,87,2,1,1
9.08,79,72,94,86,2,0,1
8.16,96,66,78,64,2,3,1
7.73,90,90,76,67,0,1,1
5.45,81,85,81,91,3,1,1
6.77,92,32,83,86,1,1,1
6.27,61,92,89,43,2,0,1
6.17,59,48,86,88,0,2,0
9.67,97,52,76,35,0,1,1
6.89,99,58,60,78,1,0,1
9.28,85,59,75,43,2,3,1
8.03,77,68,55,66,0,4,1
8.82,96,54,34,49,1,0,1
7.41,64,37,81,46,3,4,1
7.77,86,87,83,91,3,1,1
7.36,97,45,62,42,3,1,1
5.94,84,30,79,61,2,0,0
8.47,93,34,67,96,1,4,1
6.35,85,32,56,46,1,1,0
5.12,72,94,44,99,0,3,1
8.1,90,33,90,76,0,2,1
5.85,56,93,50,96,0,2,0
9.51,68,39,75,45,1,1,1
9.58,67,50,98,77,0,4,1
9.39,83,75,35,51,1,1,1
6.78,66,56,67,66,1,4,1
5.07,93,95,91,74,3,3,1
9.46,56,70,91,57,0,4,1
7.06,86,42,75,90,3,1,1
9.64,67,38,42,40,2,3,1
9.63,100,65,32,84,2,0,1
9.09,81,87,35,71,2,2,1
6.41,95,83,37,98,1,1,1
6.85,71,41,73,88,1,1,0
9.09,94,43,62,83,1,1,1
6.52,85,63,79,45,0,3,1
5.81,88,82,40,83,3,0,1
7.67,78,49,57,55,1,4,1
9.49,99,45,99,100,3,0,1
8.34,89,99,70,97,3,3,1
7.74,60,85,45,62,3,1,1
5.47,73,87,97,51,0,2,0
7.95,84,33,77,40,0,1,1
9.75,61,33,85,53,2,4,1
5.67,64,49,93,90,2,2,0
7.49,95,39,88,62,3,1,1
9.21,86,53,91,100,2,2,1
8.56,88,55,40,72,3,0,1
8.35,82,66,47,71,0,3,1
8.37,69,83,48,83,0,1,1
6.73,84,50,84,77,0,4,1
6.41,91,67,55,70,1,0,0
8.88,83,75,35,92,3,1,1
8.89,76,33,33,47,0,0,0
9.16,58,89,58,86,3,4,1
9.38,74,86,88,92,2,1,1
7.45,86,74,46,66,2,4,1
7.41,90,49,72,94,0,2,1
8.83,58,46,95,92,3,4,1
8.12,81,100,63,90,0,2,1
8.37,71,33,37,62,2,1,1
8.82,66,43,42,35,0,2,1
9.27,76,32,37,76,3,1,1
6.62,71,87,94,82,2,1,1
6.8,64,84,72,74,1,3,1
5.45,55,33,68,97,2,1,0
7.78,76,53,88,38,1,2,1
5.17,80,63,73,72,0,3,0
7.23,72,59,38,61,0,3,1
7.6,68,48,66,43,3,1,1
6.38,83,60,65,50,1,4,1
7.84,66,89,57,90,0,4,1
5.15,90,89,71,65,1,3,1
5.18,89,48,72,48,0,1,0
8.95,66,78,71,59,2,4,1
6.73,61,92,95,68,0,1,1
5.61,83,51,84,58,3,1,1
7.51,65,53,77,60,2,3,1
8.7,87,59,51,54,3,3,1
6.04,60,87,56,98,2,0,0
7.99,69,60,96,44,1,4,1
5.41,86,93,42,58,3,4,1
5.25,65,48,74,39,0,4,0
7.55,77,77,39,92,1,2,1
7.6,80,74,38,61,0,1,1
8.06,88,84,83,49,2,3,1
8.49,100,84,56,69,2,4,1
9.68,88,47,63,87,0,0,1
7.48,83,92,30,78,0,4,1
6.55,58,76,61,60,1,1,1
8.82,71,86,100,81,0,1,1
6.3,89,74,96,68,3,3,1
7.11,67,62,49,84,3,2,1
5.38,95,46,64,46,0,3,0
5.12,93,99,46,38,3,4,1
9.62,69,33,47,82,0,0,1
9.01,83,49,74,89,1,3,1
8.34,83,76,82,35,3,2,1
6.96,65,44,97,100,3,3,1
5.83,86,99,94,64,0,1,1
5.75,56,76,30,37,3,4,1
6.2,68,38,87,55,2,4,1
7.64,74,45,55,83,1,4,0
8.43,76,98,49,96,1,4,1
8.17,65,90,39,72,3,4,1
6.34,81,39,88,49,3,4,1
9.58,57,79,70,86,2,0,1
8.54,71,32,34,80,2,2,1
7.66,98,99,94,59,3,4,1
7.94,82,80,46,55,3,2,1
7.01,83,48,51,39,2,4,1
6.19,75,71,70,81,0,3,1
6.71,70,64,97,52,2,4,1
8.64,91,75,98,55,0,1,1
5.07,74,55,40,57,1,0,0
5.56,60,98,85,98,1,3,1
5.22,73,93,80,74,2,3,1
5.2,59,66,50,44,0,1,0
9.11,57,78,55,86,2,4,1
8.38,55,50,48,95,2,0,1
7.28,92,93,89,98,0,3,1
5.47,69,34,100,39,2,0,0
7.36,88,99,76,87,1,3,1
7.27,89,33,100,89,3,4,1
5.83,79,68,55,71,3,3,1
7.08,78,64,69,90,2,3,1
6.91,66,30,34,93,0,2,0
7.96,72,53,50,93,0,4,1
8.05,69,86,33,36,1,1,1
5.22,98,99,52,99,0,1,0
6.8,70,70,44,94,0,4,1
8.0,81,83,37,85,1,1,1
7.42,62,75,70,64,2,4,1
9.11,100,89,48,45,3,1,1
8.16,79,89,75,73,1,2,1
5.78,71,86,57,97,2,1,1
5.34,83,60,97,98,1,3,0
8.08,62,53,44,95,2,4,1
5.13,69,65,66,88,1,0,1
7.81,81,59,30,92,2,0,1
9.51,100,53,96,90,1,4,1
7.76,61,59,53,68,2,2,1
6.86,57,36,56,65,1,1,0
8.09,83,64,69,86,3,2,1
7.2,98,84,92,35,3,0,1
7.62,78,43,90,89,0,4,1
9.52,57,39,65,56,2,4,1
6.85,74,45,53,74,1,2,1
9.61,100,83,53,35,2,2,1
9.35,69,99,33,99,3,1,1
5.94,79,73,96,97,2,3,1
5.33,84,74,63,88,1,3,1
5.48,68,85,86,76,2,1,1
5.09,61,86,78,55,1,3,0
5.45,71,50,82,56,3,0,0
8.28,98,97,52,72,3,3,1
5.34,74,79,98,42,3,1,1
6.53,90,62,82,96,0,3,1
9.06,63,36,91,81,3,4,1
5.11,92,99,70,51,2,2,1
8.91,76,44,86,51,0,0,1
6.35,56,61,89,47,3,4,1
5.57,78,49,83,51,2,4,1
8.34,62,44,99,72,2,1,1
8.02,65,77,86,79,2,2,1
9.21,67,100,39,40,1,2,1
8.53,71,50,69,69,0,0,1
8.86,62,71,36,48,2,1,1
6.35,75,55,67,95,1,0,0
5.85,72,43,90,49,3,3,1
8.6,84,86,32,88,2,4,1
8.87,72,66,80,61,1,0,1
9.75,100,87,76,47,2,4,1
6.98,85,50,97,65,0,1,1
6.79,92,98,67,69,0,3,1
8.73,86,32,65,94,3,1,1
6.64,65,66,70,40,2,3,1
9.47,99,78,98,92,1,3,1
9.12,79,48,42,83,3,4,1
7.06,87,41,87,57,2,1,1
8.6,92,90,79,68,3,1,1
8.62,95,70,59,60,1,0,1
5.49,62,62,91,81,3,1,1
9.33,65,79,54,39,3,0,1
7.43,76,97,56,54,3,2,1
8.97,78,100,80,40,2,2,1
6.54,95,62,86,93,1,2,1
9.3,71,53,76,98,0,1,1
6.87,66,90,68,52,2,1,1
5.05,100,90,45,38,0,0,0
9.35,86,57,51,51,0,3,1
5.44,69,87,83,48,2,0,0
6.53,70,72,50,47,2,2,0
9.56,76,70,45,41,1,0,1
9.56,82,68,88,78,1,3,1
7.75,74,78,60,49,3,1,1
8.03,87,46,71,53,0,0,1
7.15,64,99,61,97,1,2,1
6.41,94,99,88,69,3,2,1
6.58,86,94,63,69,1,1,1
8.23,87,34,38,53,2,0,1
8.61,56,31,40,54,1,3,1
8.8,87,51,39,69,0,1,1
8.79,87,86,46,66,1,0,1
5.44,95,95,97,82,0,4,1
7.37,67,45,77,78,2,2,1
5.28,84,80,81,58,0,3,1
7.64,87,68,54,95,1,3,1
7.12,67,69,50,51,3,3,1
9.26,80,67,94,84,2,2,1
6.68,76,89,92,99,1,0,1
5.56,93,88,80,66,2,1,1
5.69,56,39,65,70,2,0,0
8.66,92,93,95,47,1,1,1
7.97,93,92,44,92,1,3,1
5.49,80,78,68,48,3,0,1
5.4,100,93,99,71,2,3,1
8.36,69,61,30,74,2,4,1
5.35,88,36,52,93,1,3,1
8.94,96,50,68,50,0,3,1
8.39,98,49,86,96,1,1,1
5.39,94,55,63,38,2,4,1
5.41,65,97,70,79,1,3,1
9.74,57,44,42,62,3,3,1
6.8,60,43,99,100,0,4,1
6.78,63,56,35,65,1,4,1
8.9,60,69,81,37,3,0,1
9.55,63,87,32,42,2,1,1
9.73,93,57,92,58,1,4,1
8.62,85,55,78,49,2,4,1
6.81,86,92,76,77,3,2,1
5.4,95,95,84,65,2,4,1
8.73,66,54,93,79,3,1,1
7.68,62,32,94,100,3,3,1
7.04,62,73,96,42,3,3,1
9.35,82,71,44,91,1,3,1
5.53,74,35,61,64,2,3,0
7.36,61,68,97,52,2,2,1
5.05,65,81,47,73,0,4,1
7.25,74,52,72,94,0,3,1
5.27,70,79,64,77,0,0,1
5.57,58,72,87,79,0,3,1
5.56,60,48,62,57,2,4,0
8.12,76,98,43,40,3,3,1
8.58,80,80,63,90,3,2,1
7.8,57,40,90,38,1,1,0
9.62,95,41,33,57,3,1,1
6.8,96,37,88,40,2,4,1
6.37,68,53,58,66,2,1,1
9.17,65,70,35,52,2,1,1
6.07,72,65,78,49,1,0,0
9.62,66,84,69,74,0,4,1
5.06,77,38,94,40,3,4,0
9.66,66,76,98,97,2,1,1
5.21,67,44,56,45,2,1,0
9.28,79,77,35,77,0,1,1
7.53,99,71,42,51,2,2,1
9.77,73,89,93,38,3,3,1
5.35,100,99,91,97,1,2,1
7.66,90,41,48,75,2,4,1
9.65,99,31,72,39,3,0,1
7.51,62,36,49,66,2,3,1
8.02,83,32,97,69,0,0,1
8.34,86,32,73,56,2,4,1
7.18,98,56,52,99,2,4,1
8.01,72,69,31,56,1,0,1
7.8,60,62,51,45,0,0,0
9.33,72,30,86,37,0,0,1
5.22,73,37,36,43,1,4,0
6.35,76,61,85,94,2,1,1
9.56,91,77,96,48,3,0,1
9.27,86,33,45,52,0,3,1
7.19,95,99,80,57,0,4,1
7.98,57,48,41,81,2,2,1
6.33,82,61,82,81,2,2,1
5.9,64,38,34,64,0,3,0
7.23,89,41,56,59,2,1,1
6.7,83,40,41,62,3,0,1
7.8,69,75,46,59,0,4,1
5.37,87,45,35,92,3,0,0
9.68,61,30,34,75,3,4,1
9.73,66,92,86,59,2,2,1
8.35,84,50,57,82,3,0,1
7.57,75,59,98,44,2,3,1
6.49,85,42,88,45,1,1,0
8.91,78,63,62,55,2,3,1
8.29,74,33,91,79,3,1,1
5.78,91,57,79,41,1,0,0
9.37,58,88,48,98,2,0,1
8.95,82,56,98,98,3,1,1
9.56,98,98,95,36,0,2,1
8.48,74,54,76,76,0,4,1
7.94,78,32,68,88,2,3,1
7.01,86,97,97,50,2,3,1
9.48,95,54,62,52,0,3,1
9.16,90,49,42,93,3,0,1
5.22,88,63,83,50,3,3,1
5.13,90,55,36,40,3,4,1
6.81,56,34,43,91,2,4,1
8.89,69,90,48,81,1,1,1
9.74,88,38,83,82,1,0,1
5.72,90,79,49,76,1,4,1
7.85,60,35,58,94,1,2,1
6.83,93,89,53,38,1,0,1
9.66,96,73,92,36,2,0,1
9.04,66,40,86,93,2,4,1
9.02,57,95,37,61,1,2,1
7.25,99,76,91,61,2,1,1
6.99,72,32,58,41,2,4,1
6.31,94,59,46,97,1,2,0
5.27,75,50,95,80,3,0,1
9.15,69,57,35,97,2,2,1
8.9,87,91,87,46,3,0,1
9.8,89,62,98,47,2,4,1
9.78,80,64,57,77,2,4,1
7.67,62,81,91,51,1,3,1
8.69,90,63,70,97,2,3,1
9.53,84,70,98,70,0,3,1
9.08,77,80,70,42,0,4,1
6.19,96,76,78,70,1,1,0
7.16,98,87,78,62,3,4,1
5.62,68,86,100,81,3,2,1
9.58,68,52,32,64,3,4,1
7.91,56,77,39,57,0,4,1
6.1,91,51,64,50,3,0,0
8.22,59,46,31,48,3,0,1
7.97,92,98,53,86,1,0,1
6.72,99,40,67,71,3,4,1
5.55,95,44,51,63,0,1,0
8.22,68,64,55,49,0,2,1
7.5,93,62,72,81,0,2,1
8.71,79,45,84,80,1,1,1
7.5,74,63,68,86,1,1,1
9.09,56,95,58,53,2,2,1
7.65,93,69,49,55,3,3,1
7.69,60,57,70,98,1,0,1
9.21,71,76,83,71,0,0,1
6.94,79,68,49,61,0,2,1
5.64,82,99,48,89,1,1,1
5.14,56,49,95,63,1,3,0
8.62,89,30,59,54,1,2,1
7.98,91,92,82,59,2,0,1
8.38,59,96,63,97,0,4,1
6.02,55,33,51,70,2,1,0
5.65,94,87,96,36,2,4,1
5.07,66,54,35,56,3,2,1
6.68,90,76,56,50,0,0,0
7.83,99,67,39,52,0,3,1
6.88,77,44,77,88,1,4,1
7.1,85,92,99,64,1,3,1
9.34,65,50,88,79,3,0,1
6.67,64,86,88,53,2,4,1
7.47,57,82,31,68,1,3,1
8.76,68,75,58,47,1,3,1
6.9,70,43,97,77,0,4,1
7.99,64,46,94,96,0,0,1
9.14,83,68,55,56,1,3,1
9.56,64,38,39,86,0,2,1
5.71,66,35,82,86,3,4,1
9.45,84,52,88,70,1,1,1
7.36,95,88,51,53,0,1,1
6.24,55,75,80,72,3,0,1
7.2,59,67,77,91,0,2,0
9.7,74,43,50,54,0,3,1
7.36,62,91,51,43,0,1,1
6.58,97,64,59,66,1,0,1
8.04,66,48,54,38,2,2,1
6.15,55,59,57,84,0,2,0
5.36,74,54,94,39,3,0,0
5.62,82,69,74,54,1,0,0
5.61,97,43,97,71,1,3,1
5.73,91,55,36,56,3,0,0
5.67,91,51,78,92,0,3,1
8.08,66,77,38,78,2,3,1
5.87,91,80,65,68,0,4,1
6.66,98,32,30,76,3,2,1
9.3,82,71,39,43,1,2,1
7.28,69,48,65,41,2,2,1
8.2,60,57,75,53,1,4,1
5.83,98,74,61,65,3,3,1
5.92,74,100,61,69,0,3,1
5.2,68,92,35,91,2,0,1
5.81,56,48,77,95,1,4,1
6.34,63,76,67,65,1,0,1
5.85,91,43,46,87,1,4,1
5.43,74,67,56,66,0,0,0
5.58,80,82,83,100,2,1,1
7.21,83,90,79,93,0,2,1
5.99,55,65,64,44,0,2,0
6.75,89,69,54,36,0,3,0
7.42,60,59,57,100,3,1,1
8.31,91,38,44,94,3,2,1
5.19,59,93,33,51,3,3,1
8.84,87,62,56,50,2,1,1
8.01,68,81,55,50,0,2,1
5.39,66,43,48,80,0,0,0
9.19,96,82,46,73,3,4,1
9.42,74,88,72,65,0,1,1
5.29,78,70,70,35,0,3,0
6.33,97,97,71,45,1,1,0
8.87,88,97,79,38,0,3,1
8.59,79,37,69,60,1,1,1
5.89,83,31,68,84,0,3,0
6.0,93,70,52,46,2,2,0
6.78,85,84,81,99,3,0,1
7.33,97,45,76,81,1,2,1
7.97,77,91,92,87,3,0,1
6.77,98,77,98,36,1,2,1
7.22,92,59,72,58,1,2,1
8.59,74,41,77,38,1,1,1
5.18,77,64,63,53,2,4,0
6.21,99,40,69,60,0,3,0
8.42,70,93,90,74,1,3,1
9.3,96,79,79,84,2,3,1
7.46,62,50,96,77,1,0,1
7.55,75,98,91,46,0,3,1
5.51,55,77,87,61,1,3,1
7.15,62,49,62,88,2,1,1
7.56,83,96,45,100,0,2,1
6.16,86,73,77,83,2,3,1
6.29,92,62,39,50,0,4,1
6.81,59,90,67,36,0,3,1
5.1,76,38,48,94,3,0,0
6.55,88,97,65,88,3,0,1
6.01,55,64,88,64,3,0,1
6.57,80,94,92,72,0,3,1
5.57,97,37,75,62,1,1,0
9.27,64,74,32,59,2,4,1
7.85,84,76,94,44,2,3,1
8.26,72,69,37,94,2,1,1
8.79,71,83,80,76,3,1,1
7.39,80,75,35,74,0,3,1
5.42,62,76,68,76,3,3,1
7.58,94,44,89,81,1,1,1
7.82,66,48,57,71,0,1,1
8.58,81,55,83,56,2,1,1
7.07,62,81,66,91,3,3,1
5.61,79,51,38,61,3,1,0
6.36,100,50,85,75,1,0,1
6.74,58,80,88,68,1,3,1
8.1,87,67,31,66,3,0,1
7.74,55,49,90,100,1,2,1
6.71,73,58,87,46,2,3,1
9.74,85,80,89,74,1,2,1
7.91,70,33,69,44,1,1,0
6.14,68,84,65,82,3,1,1
5.49,59,100,66,54,3,4,1
5.73,95,57,47,73,0,1,0
6.18,80,33,92,94,0,2,1
5.77,82,51,51,100,3,1,0
5.9,56,74,40,99,1,3,1
6.37,60,96,87,85,1,1,1
5.83,63,95,86,70,0,4,1
9.3,87,63,33,58,0,1,1
5.39,95,84,36,61,0,2,0
7.52,79,30,90,36,2,2,1
6.97,67,67,83,65,2,1,1
9.72,63,35,97,91,0,2,1
5.54,67,54,30,100,1,2,0
6.91,85,46,84,63,0,4,1
9.65,95,90,32,49,2,3,1
9.15,65,41,67,46,1,4,1
8.92,58,35,30,62,2,0,0
6.24,88,56,67,58,1,4,1
5.82,92,37,58,55,2,1,0
8.21,100,94,34,44,1,3,1
9.46,58,86,50,52,1,1,1
7.67,92,69,100,48,1,0,1
7.74,73,43,96,68,1,3,1
6.34,60,64,76,92,3,2,1
8.69,88,77,64,56,2,4,1
5.9,72,85,97,70,2,1,1
6.55,67,78,98,79,3,0,1
7.04,95,42,30,70,1,2,0
7.44,77,90,97,56,1,4,1
6.16,73,78,41,95,2,2,1
5.55,99,75,89,90,3,4,1
7.93,65,91,56,67,1,3,1
6.39,55,37,85,79,1,2,1
7.79,78,72,52,70,1,2,1
5.74,61,49,54,54,0,2,0
7.31,79,68,50,52,3,3,1
7.56,75,78,90,72,1,0,1
5.25,69,93,92,57,0,4,1
6.62,55,91,81,50,3,2,1
5.65,66,83,54,93,1,3,0
5.3,61,38,84,55,2,0,0
9.75,69,66,75,46,0,4,1
6.55,75,78,61,50,0,3,1
8.89,73,70,84,48,1,4,1
6.22,83,46,34,95,1,2,0
8.27,79,50,65,80,0,0,1
8.65,87,80,78,66,2,3,1
7.86,86,88,87,49,2,0,1
7.26,89,68,68,78,3,2,1
6.98,98,84,90,51,1,0,1
6.67,92,70,38,75,2,0,1
9.46,80,68,35,88,3,1,1
8.99,65,42,64,78,2,0,1
9.63,89,93,68,39,1,4,1
5.6,62,40,51,61,3,3,1
8.51,100,48,70,77,3,1,1
9.5,68,40,34,65,3,3,1
5.87,64,75,71,51,2,3,1
5.32,56,74,96,88,1,2,1
8.56,100,30,59,96,3,2,1
7.76,63,69,86,66,0,1,1
9.04,57,48,58,74,1,2,1
5.67,75,90,66,47,0,2,1
8.82,80,41,42,69,0,2,1
5.97,62,90,61,39,3,3,1
5.79,56,62,75,63,3,1,1
5.79,60,74,52,59,2,3,1
8.91,82,98,74,56,2,4,1
8.19,83,37,46,100,2,3,1
7.51,80,54,95,79,1,4,1
6.72,79,75,35,35,2,0,0
9.21,66,59,47,78,0,0,1
6.88,59,76,51,73,2,4,1
8.92,88,78,62,88,3,4,1
7.11,91,76,59,63,2,3,1
6.81,69,47,61,88,1,4,1
7.22,98,95,71,50,1,1,1
6.45,90,97,39,54,0,0,0
8.59,69,62,65,80,1,0,1
7.41,97,65,63,99,2,4,1
6.11,77,48,57,92,3,2,0
9.32,60,57,40,87,1,2,1
6.84,100,69,68,35,0,4,1
7.61,98,44,76,100,2,1,1
9.35,97,70,48,63,0,2,1
8.0,99,68,44,42,1,4,1
5.56,75,31,57,63,1,1,0
9.51,77,92,53,85,0,1,1
8.01,97,58,38,67,2,3,1
6.61,70,95,76,37,1,1,1
5.67,69,80,62,94,3,2,1
8.81,79,39,91,69,1,2,1
7.98,90,43,48,54,2,4,1
7.56,65,80,96,73,1,4,1
9.29,69,68,69,38,0,1,1
8.79,58,57,76,53,1,0,1
5.73,75,32,94,79,1,3,1
6.5,67,99,58,77,2,0,1
6.19,76,56,79,47,0,1,0
8.57,73,31,42,47,2,1,1
5.16,88,67,30,94,1,0,0
7.74,68,32,63,91,3,3,1
8.66,58,45,77,86,1,0,1
9.21,100,69,77,87,2,4,1
6.64,81,31,78,77,3,2,1
8.94,83,70,93,76,2,4,1
5.53,82,41,90,60,2,2,0
9.06,89,64,58,57,0,1,1
